name,image,Trivia,Quotes,Trademark,Nickname,Star Sign,Born,Height:,Awards,Died
Balraj Sahni,"https://m.media-amazon.com/images/M/MV5BZDgwMGMzMWUtMmQ1Yi00NjM0LTlkMDgtMTk5MmFkMWJhNDY1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR6,0,86,128_AL_.jpg",Daughter Sanovar (Sanobar) is a alumnus of the Tata institute of social service's. Her work with prisoners has won acclaim.,,,,Taurus,"May 1,      1913      ;Rawalpindi, Punjab, British India [now Punjab, Pakistan]",,1 nomination.,"April 13,      1973                                  (age 59)                    ;Bombay, Maharashtra, India"
Binnu Dhillon,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,,,,,,,"5'6""(1.68m)",1 nomination.,
Bharat Bhushan,"https://m.media-amazon.com/images/M/MV5BODIwNGY2OGItN2I4Ny00Y2ExLWEzZmQtMTI0M2IxMWQxYTU5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR1,0,86,128_AL_.jpg",Niece is actress Parijat (Kaun Kare Kurbani). She is Bharat's brother's daughter. She suffered from polio.,,,,Gemini,"June 14,      1920      ;Meerut, United Provinces of Agra and Oudh, British India",,1 win.,"January 27,      1992                                  (age 71)                    ;Bombay, Maharashtra, India"
Chiranjeevi,"https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR1,0,86,128_AL_.jpg","Chiranjeevi, being a regional language actor surpassed Amitabh Bachchan in 1992 in terms of remuneration by charging Rs 1.25 Crores for a movie.","""Admiration is not adorning the cutouts with blood or indulging in fights with other fans. But being of help to the needy, living life again by donating eyes after death is what I call genuine admiration of a fan"".",,Chiru,Leo,"Konidela Siva Sankara Vara Prasad;August 22,      1955      ;Narasapur, Andhra Pradesh, India","5'9""(1.75m)",14 wins & 3 nominations.,
Chunky Pandey,"https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_UX86_CR0,0,86,128_AL_.jpg","Sister in law Deanne Pandey appeared in the pop video ""Aage Aage Ladki"" by Baba Sehgal.",,,,Libra,"Suyash Sharad Pandey;September 26,      1962      ;Gorakhpur, Uttar Pradesh, India","5'11""(1.8m)",5 nominations.,
Danny Denzongpa,"https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY128_CR7,0,86,128_AL_.jpg",Was involved with Kimi Katkar in 1987.,,,,Pisces,"Tshering Phintso Denzongpa;February 25,      1948      ;Gangtok, Sikkim",,2 wins & 5 nominations.,
Darsheel Safary,"https://m.media-amazon.com/images/M/MV5BMjYyYzViMmYtMjU4Yi00NGM3LWFjZTEtZmFkOGFmOTllY2I2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg",,,,Darsh,Pisces,"Darsheel Mitesh Safary;March 9,      1996      ","5'10""(1.78m)",3 wins & 2 nominations.,
Deepak Tijori,"https://m.media-amazon.com/images/M/MV5BNmIwYzhiNjUtYmY3NS00YjdhLTlkM2UtZDJhZDJiNDkzNDI5XkEyXkFqcGdeQXVyNDY2Nzg2NQ@@._V1_UY128_CR21,0,86,128_AL_.jpg","Went for a world tour concert with Avinash Wadhwan, Chunky Pandey, Sangeeta Bijlani, Sheeba in the summer of 1995. They were to perform 12 concerts in America, Canada and England. Out of 12, 6 got cancelled. The show in Vancouver, B.C.Canada was one...",,,,Virgo,"August 28,      1961      ;Bombay, Maharashtra, India",,,
Dharmendra,"https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY128_CR53,0,86,128_AL_.jpg","Till end of 1983, Dharmendra had done only 43 multi-star cast films and 71 solo hero films . From 1984 he accepted too many multi-star films of action genre such that by 2013, his multi-star cast film tally stands at 158 and solo hero films only at ...",I loved Rajesh Khanna always. It's misconception spread by media that I had some issue with him working with Hema. I have kissed his forehead during success celebrations of his films and the few birthday parties he threw for all of us. I went on to ...,,Dharminder,Sagittarius,"Dharam Singh Deol;December 8,      1935      ;Nasrali, Punjab, British India","5'10""(1.78m)",8 wins & 5 nominations.,
Deepika Padukone,"https://m.media-amazon.com/images/M/MV5BNGFlYzAyYjgtNzRjNS00NmE4LTliOGYtYzBkYzU5MzRhMDM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX86_CR0,0,86,128_AL_.jpg",Indian supermodel.,"Even though I played national level badminton, I told my parents when I was in 10th that I was not interested in continuing. Being a model or actor fascinated me from a young age, and I even did a couple of ads when I was just eight years old.",,,Capricorn,"January 5,      1986      ;Copenhagen, Denmark","5'7½""(1.71m)",82 wins & 55 nominations.,
Dimple Kapadia,"https://m.media-amazon.com/images/M/MV5BNTc4MTE1NDU5MF5BMl5BanBnXkFtZTcwNDI2MTcxOA@@._V1_UY128_CR49,0,86,128_AL_.jpg","Was to star in the female version of Amar Akbar Anthony with sister Reem Kapadia and Salma Agha. It was to be made in Hindi as Seeta Salma Suzy and Bengali as Lakhi Durga Saraswati. The star cast was later changed to Moon Moon Sen, Sudha Chandran ...",,,,Gemini,"Dimple Chunnibhai Kapadia;June 8,      1957      ","5'2½""(1.59m)",6 wins & 12 nominations.,
Dev Anand,"https://m.media-amazon.com/images/M/MV5BMTk5MDI0OTQzOF5BMl5BanBnXkFtZTcwMTgwMzEzMQ@@._V1_UY128_CR42,0,86,128_AL_.jpg","Dev Anand sister names are : Savitri , Sheila , Bonnie, and Ushie .","Motion picture making is a very, very involved affair. It is completely my baby. I'm a thorough professional. I plan films right from the conception of an idea to its final execution.",,Dev Saab,Libra,"Dharam Devdutt Pishorimal Anand;September 26,      1923      ;Gurdaspur, Punjab, British India [now Gurdaspur, Punjab, India]","5'10½""(1.79m)",7 wins & 2 nominations.,"December 3,      2011                                  (age 88)                    ;London, England, UK"
Deepti Naval,"https://m.media-amazon.com/images/M/MV5BYjhjNWM1MmUtM2M3My00MWZmLWE5NDYtNTI5YTM3MWQwNGVhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX86_CR0,0,86,128_AL_.jpg","Starred in the shelved movie ""Columbus Zinda Hain""(1982). Starring Deepti Naval, Directed by Raman Kumar.",,,,Aquarius,"February 3,      1952      ;Amritsar, Punjab, India","5'3""(1.6m)",1 win & 1 nomination.,
Dilip Kumar,"https://m.media-amazon.com/images/M/MV5BMzg0NTM0MjYxN15BMl5BanBnXkFtZTcwMzY1NTAzMQ@@._V1_UY128_CR41,0,86,128_AL_.jpg","Grandniece is world famous jewelry designer Kichu Dandiya. Kichu is the owner of the jewelry label ""Kichu"". Kichu Dandiya is the daughter of Lubna Mohammed Nasir Khan. Lubna is the daughter former actor Nasir Khan (Dilip Kumar's brother). Lubna has ...","Am overwhelmed by the affection shown by the people over the years. But to be very frank, I have been outdone by actors like my seniors M.G.Ramachandran and Pran and then by Sivaji Ganesan, Sanjeev Kumar and Rajesh Khanna who were much more ...","            His deep, rich voice        ",Legendary Khan,Sagittarius,"Yusuf Khan;December 11,      1922      ;Peshawar, North-West Frontier Province, British India","5'8¼""(1.74m)",16 wins & 10 nominations.,
Farooq Shaikh,"https://m.media-amazon.com/images/M/MV5BNzY3ODZmNDctZDA0ZC00NGNmLTgzZmItM2JhMTI4MzM3NTU2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR0,0,86,128_AL_.jpg","Starred in the shelved film Unit Combines's ""Bahu Bina Ghar Suna""(1983) Starring Farooq Shaikh, Suresh Oberoi, Kajal Kiran. Shoma Anand,Music by Usha Khanna, Directed by Dilip Gulati .",,,,Aries,"March 25,      1948      ;Amroli, State of Bombay, India",,2 wins & 1 nomination.,"December 27,      2013                                  (age 65)                    ;Dubai, United Arab Emirates"
Farhan Akhtar,"https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX86_CR0,0,86,128_AL_.jpg",Nephew of child actors Sarosh Irani and Bunny.,[February 2009] I personally feel that since we (the Indian audience) are used to watching a certain kind of entertainment (the typical traditional bollywood movie) it'll take time for everybody to move on from expecting a routine typical Indian ...,            In all his movies he only uses the song lyrics written by his father Javed Akhtar.         ,,Capricorn,"January 9,      1974      ;Mumbai, India","5'7""(1.7m)",40 wins & 28 nominations.,
Feroz Khan,"https://m.media-amazon.com/images/M/MV5BN2NjODM2NDItYTU0Ni00MzJmLWJkZTYtMjQ3ZDZjZmNjY2NhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg","Great Grandfather Agha Abdul Hussain Shirazi (Maternal Grandmother Khanum's father) had a half brother named Agha Mohammed Qasim Shirazi. He was born in 1852 and died in October 3, 1909. He was married to Khanum Zia Begum Sanaa Shirazi .",,,,Libra,"Zulfikar Ali Shah Khan;September 25,      1939      ;Bangalore, Kingdom of Mysore, British India",6'(1.83m),1 win & 4 nominations.,"April 27,      2009                                  (age 69)                    ;Bangalore, Karnataka, India"
Farida Jalal,"https://m.media-amazon.com/images/M/MV5BZGE2OTUzZDEtZWQ2Ny00YTQ0LWEyYmItYmRiYjMxNTFiYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX86_CR0,0,86,128_AL_.jpg",It is difficult to imagine that the heroine of Rajesh Khanna in the iconic Aradhana didn't make it big as a heroine. Maybe it was her acting skills. But so-what. she looked happy and fit all her life.,,,,Pisces,"March 14,      1949      ;New Delhi, India","5'1""(1.55m)",9 wins & 4 nominations.,
Guru Dutt,"https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjEwN15BMl5BanBnXkFtZTgwODQ1NDQzNzE@._V1_UY128_CR42,0,86,128_AL_.jpg",Second cousin twice removed of Amrita Rao. Her grandfather and Guru Dutt were second cousins.,About Kaagaz Ke Phool (1959): It was good in patches. It was too slow and it went over the head of audiences.,            Revolutionized the close-up shot and used it in all of his films.        ,,Cancer,"Vasanth Kumar Shivsankar Padukone;July 9,      1925      ;Bangalore, Kingdom of Mysore, British India",,4 wins & 1 nomination.,"October 10,      1964                                  (age 39)                    ;Bombay, Maharashtra, India"
Govinda,"https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY128_CR8,0,86,128_AL_.jpg","After Radha Ka Sangam,Kirti Kumar and Govinda were going to make a film on social problems titled ""Jyot Se Jyot Jale"". The plans were dropped when Radha Ka Sangam flopped.",Someone shamelessly wrote that I was caught red-handed with one of my heroines. And to think that I was with my wife at that point of time. Ha!,,Chi Chi,Sagittarius,"Govind Arun Ahuja;December 21,      1963      ;Bombay, Maharashtra, India","5'4¾""(1.64m)",8 wins & 16 nominations.,
Gulshan Grover,"https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX86_CR0,0,86,128_AL_.jpg",Sister named Rita Grover. She is based in Mumbai. She is a NSD graduate and did theatre in Delhj.,"I believe it's better to be a baddie because baddies have a longer shelf life, and don't have to depend on looks.",,,Virgo,"September 21,      1955      ;New Delhi, India","5'7½""(1.71m)",1 win & 1 nomination.,
Gurpreet Ghuggi,"https://m.media-amazon.com/images/M/MV5BODJhZWQ3NGEtZDFmYS00YTc3LTllMzctZGFlM2U0NjliYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR3,0,86,128_AL_.jpg",,,,Ghuggi,,Gurpreet Singh,,,
Girish Karnad,"https://m.media-amazon.com/images/M/MV5BMTkyNDk3MjEzN15BMl5BanBnXkFtZTYwOTQyODEz._V1_UY128_CR10,0,86,128_AL_.jpg","His native language was Konkani, but he chose to write in Kannada, a language which was his acquired mother tongue.",,,,Taurus,"May 19,      1938      ;Matheran, Bombay Presidency, British India",,3 wins & 3 nominations.,"June 10,      2019                                  (age 81)                    ;Bengaluru, Karnataka, India"
Hrithik Roshan,"https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX86_CR0,0,86,128_AL_.jpg","His looks get him worldwide attention - he was in the Top 5 in a worldwide poll on 'Most Handsome Faces'. He's also won the 'Sexiest Asian Man' title three times in a row, as well as the title of 'Sexiest Father'.","I am so happy with where I am and who I am right now that if I change even a single thing; it would change the truth of who I am. So, I wouldn't change anything. I am very happy and proud of every single experience I have had.",,Duggu,Capricorn,"Hrithik Rakesh Nagrath;January 10,      1974      ;Bombay, Maharashtra, India","5'9""(1.75m)",53 wins & 42 nominations.,
Huma Qureshi,"https://m.media-amazon.com/images/M/MV5BMTEwMTkyMDY3OTheQTJeQWpwZ15BbWU4MDE1MjEyMzkx._V1_UX86_CR0,0,86,128_AL_.jpg",,,,,Leo,"July 28,      1986      ;New Delhi, India","5'4¾""(1.65m)",2 wins & 11 nominations.,
Inaamulhaq,"https://m.media-amazon.com/images/M/MV5BNTlkNmU1N2YtZGI2OC00YjkwLWIxM2MtNTZkMmJkYTQ4YWE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY128_CR6,0,86,128_AL_.jpg","Won Best Actor Award at ""India International Film Festival of Boston (iiffb-2019)"" for outstanding performance in Nakkash.",,,,Scorpio,"November 14,      1979      ;Saharanpur, Uttar Pradesh, India","5'6""(1.68m)",3 wins.,
Irrfan Khan,"https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY128_CR5,0,86,128_AL_.jpg","Irrfan auditioned for a role in Ram Gopal Varma's Daud, which Manoj Bajpai ended up signing .",I often visualized giving my mother this big black suitcase crammed with notes like those gangsters do in our masala flicks.,,,Capricorn,"Sahabzade Irrfan Ali Khan;January 7,      1967      ;Jaipur, Rajasthan, India","5'10½""(1.79m)",32 wins & 28 nominations.,"April 29,      2020                                  (age 53)                    ;Mumbai, Maharashtra, India"
Jackie Shroff,"https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY128_CR9,0,86,128_AL_.jpg",Jackie Shroff was approached for the film Shart. The problem was his astrologer father kept telling Jackie what day would be lucky for him to sign the film. The dates kept changing . Ketan Anand got irritated by this situation.Finally Ketan Anand ...,,,Jagga,Aquarius,"Jaikishen Kakubhai Shroff;February 1,      1957      ;Udgir, State of Bombay, India","5'10""(1.78m)",4 wins & 8 nominations.,
Jimmy Sheirgill,"https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY128_CR52,0,86,128_AL_.jpg","Starred in Venus Films shelved film ""Love In Kashmir""(2001). Starring Jimmy Shergill, Bhumika Singh,Karan Nath, Produced by Ratan Jain,Ganesh Jain, Directed by S.V. Rajendra Singh.",,,,Sagittarius,"Jasjit Singh Gill;December 3,      1970      ;Gorakhpur, Uttar Pradesh, India","5'5¾""(1.67m)",3 wins & 8 nominations.,
Jeetendra,"https://m.media-amazon.com/images/M/MV5BYThkMTY3NDktMDBiNy00NWFhLWIyOWEtNGRkNDRiMGJjMjZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR3,0,86,128_AL_.jpg","Starred in the shelved film Meena Films untitled movie in 1975. Starring Rajendra Kumar, Jeetendra, Asha Parekh,, Vidya Sinha,Ajit, Deven Verma, Music by Laxmikant Pyarelal, Directed by Arabind Sen.",,,Jumpin' Jack,Aries,"Ravi Kapoor;April 7,      1942      ;Amritsar, Punjab, British India","5'9""(1.75m)",2 wins.,
